transaction_id,customer_id,transaction_date,transaction_amount,payment_mode,amount_category,transaction_month
t0092,c010,2025-03-21,4046.0,upi,High,3
t0211,c034,2025-03-18,2727.0,card,High,3
t0086,c039,2025-03-05,2268.0,wallet,High,3
t0190,c002,2025-01-08,8512.0,cash,High,1
t0259,c036,2025-03-09,6721.0,upi,High,3
t0081,c149,2025-03-26,2634.0,netbanking,High,3
t0141,c123,2025-02-21,1968.0,netbanking,High,2
t0160,c087,2025-02-14,3172.0,card,High,2
t0132,c056,2025-01-30,2617.0,wallet,High,1
t0182,c057,2025-02-12,1451.0,wallet,High,2
t0156,c058,2025-01-14,9313.0,upi,High,1
t0161,c145,2025-03-26,1340.0,card,High,3
t0193,c130,2025-02-19,9708.0,wallet,High,2
t0025,c091,2025-02-03,4781.0,wallet,High,2
t0250,c076,2025-02-11,1511.0,upi,High,2
t0214,c073,2025-02-27,8949.0,card,High,2
t0151,c111,2025-01-13,2331.0,wallet,High,1
t0249,c109,2025-01-11,3156.0,wallet,High,1
t0173,c111,2025-01-23,6429.0,wallet,High,1
t0069,c119,2025-02-22,3273.0,wallet,High,2
t0112,c094,2025-03-09,4665.0,card,High,3
t0143,c038,2025-01-09,4705.0,wallet,High,1
t0031,c142,2025-03-09,7171.0,wallet,High,3
t0135,c004,2025-02-15,9847.0,upi,High,2
t0084,c062,2025-03-15,4026.0,netbanking,High,3
t0152,c016,2025-03-17,9402.0,upi,High,3
t0157,c030,2025-02-05,3905.0,netbanking,High,2
t0011,c120,2025-03-31,6243.0,card,High,3
t0006,c098,2025-02-05,4333.0,cash,High,2
t0273,c019,2025-02-27,8676.0,upi,High,2
t0266,c141,2025-03-11,5114.0,card,High,3
t0205,c144,2025-02-18,5581.0,card,High,2
t0039,c075,2025-03-31,8242.0,cash,High,3
t0204,c101,2025-01-17,1588.0,upi,High,1
t0005,c084,2025-01-28,5555.0,upi,High,1
t0024,c127,2025-02-11,8188.0,card,High,2
t0146,c111,2025-01-13,9233.0,card,High,1
t0067,c117,2025-01-12,4335.0,upi,High,1
t0191,c080,2025-03-01,816.0,cash,High,3
t0016,c011,2025-02-14,7218.0,upi,High,2
t0077,c121,2025-02-01,9231.0,card,High,2
t0010,c033,2025-03-02,9440.0,card,High,3
t0134,c065,2025-01-23,622.0,card,High,1
t0189,c018,2025-03-02,5161.0,upi,High,3
t0194,c011,2025-02-27,3284.0,upi,High,2
t0171,c053,2025-02-08,2448.0,upi,High,2
t0101,c140,2025-01-21,7437.0,upi,High,1
t0243,c052,2025-01-06,5280.0,wallet,High,1
t0186,c040,2025-03-25,3102.0,netbanking,High,3
t0288,c037,2025-02-10,5858.0,netbanking,High,2
t0129,c055,2025-03-24,9983.0,cash,High,3
t0197,c011,2025-02-01,7399.0,wallet,High,2
t0254,c104,2025-02-16,2821.0,cash,High,2
t0208,c055,2025-02-13,3345.0,card,High,2
t0074,c142,2025-02-22,3881.0,cash,High,2
t0158,c144,2025-03-21,9321.0,cash,High,3
t0087,c002,2025-02-12,7413.0,cash,High,2
t0149,c110,2025-02-10,6332.0,card,High,2
t0140,c078,2025-02-28,710.0,cash,High,2
t0022,c023,2025-02-05,4195.0,netbanking,High,2
t0116,c068,2025-03-10,7651.0,upi,High,3
t0165,c014,2025-01-20,1015.0,cash,High,1
t0256,c018,2025-01-31,6201.0,upi,High,1
t0017,c018,2025-03-06,5790.0,cash,High,3
t0088,c135,2025-02-28,2561.0,netbanking,High,2
t0056,c043,2025-02-09,9525.0,upi,High,2
t0215,c080,2025-03-02,6226.0,wallet,High,3
t0279,c033,2025-03-22,8940.0,cash,High,3
t0299,c111,2025-01-18,6192.0,netbanking,High,1
t0019,c118,2025-01-20,3085.0,wallet,High,1
t0166,c070,2025-02-26,8157.0,wallet,High,2
t0232,c132,2025-03-15,2552.0,upi,High,3
t0147,c111,2025-02-27,6979.0,upi,High,2
t0253,c112,2025-02-05,1139.0,cash,High,2
t0054,c051,2025-02-24,9122.0,card,High,2
t0137,c108,2025-03-09,1241.0,netbanking,High,3
t0012,c030,2025-01-21,1971.0,wallet,High,1
t0228,c039,2025-03-12,8847.0,netbanking,High,3
t0115,c143,2025-02-16,6664.0,cash,High,2
t0207,c093,2025-01-03,5260.0,card,High,1
t0258,c095,2025-02-17,1459.0,wallet,High,2
t0130,c013,2025-02-12,2263.0,wallet,High,2
t0283,c068,2025-03-25,9573.0,netbanking,High,3
t0030,c063,2025-02-09,6246.0,netbanking,High,2
t0206,c135,2025-01-12,7137.0,wallet,High,1
t0298,c121,2025-02-06,333.0,cash,Medium,2
t0280,c129,2025-03-24,9896.0,wallet,High,3
t0216,c113,2025-03-01,6456.0,wallet,High,3
t0042,c123,2025-01-15,6765.0,netbanking,High,1
t0138,c115,2025-02-16,9926.0,cash,High,2
t0267,c045,2025-02-16,3873.0,cash,High,2
t0245,c049,2025-02-06,983.0,upi,High,2
t0252,c114,2025-02-14,893.0,upi,High,2
t0291,c116,2025-02-01,1786.0,cash,High,2
t0234,c147,2025-02-23,1602.0,wallet,High,2
t0085,c012,2025-02-10,6446.0,netbanking,High,2
t0015,c078,2025-03-29,2183.0,wallet,High,3
t0203,c021,2025-03-16,5931.0,upi,High,3
t0167,c114,2025-02-23,3731.0,wallet,High,2
t0020,c070,2025-03-20,8121.0,netbanking,High,3
t0090,c102,2025-03-25,5583.0,wallet,High,3
t0244,c102,2025-03-11,4350.0,cash,High,3
t0276,c133,2025-01-20,2897.0,card,High,1
t0128,c071,2025-01-25,7650.0,cash,High,1
t0155,c148,2025-03-06,2735.0,netbanking,High,3
t0235,c093,2025-01-09,9114.0,wallet,High,1
t0226,c121,2025-03-31,7885.0,netbanking,High,3
t0153,c032,2025-02-22,7129.0,cash,High,2
t0098,c021,2025-03-20,4145.0,netbanking,High,3
t0065,c027,2025-01-21,6944.0,netbanking,High,1
t0275,c034,2025-02-25,1107.0,cash,High,2
t0070,c093,2025-03-21,7442.0,cash,High,3
t0185,c038,2025-02-02,3042.0,wallet,High,2
t0246,c070,2025-01-16,7359.0,netbanking,High,1
t0094,c114,2025-01-22,674.0,cash,High,1
t0049,c068,2025-03-26,2773.0,card,High,3
t0289,c034,2025-02-17,9402.0,cash,High,2
t0008,c058,2025-03-25,859.0,cash,High,3
t0109,c011,2025-02-09,746.0,wallet,High,2
t0239,c027,2025-03-16,2385.0,cash,High,3
t0178,c104,2025-01-03,3015.0,wallet,High,1
t0021,c112,2025-03-17,5480.0,card,High,3
t0209,c036,2025-01-20,5046.0,cash,High,1
t0002,c137,2025-01-04,9897.0,wallet,High,1
t0099,c150,2025-01-19,7755.0,upi,High,1
t0200,c014,2025-03-22,5682.0,cash,High,3
t0045,c031,2025-03-13,9966.0,wallet,High,3
t0187,c119,2025-03-14,7554.0,wallet,High,3
t0060,c065,2025-01-04,3950.0,wallet,High,1
t0251,c076,2025-02-09,7181.0,card,High,2
t0104,c028,2025-01-31,9570.0,upi,High,1
t0260,c072,2025-02-01,624.0,card,High,2
t0051,c105,2025-02-27,7899.0,upi,High,2
t0080,c069,2025-01-01,5091.0,wallet,High,1
t0089,c040,2025-01-10,4542.0,upi,High,1
t0192,c095,2025-02-06,1679.0,wallet,High,2
t0123,c139,2025-02-23,2731.0,netbanking,High,2
t0071,c053,2025-02-04,2346.0,upi,High,2
t0169,c002,2025-03-04,5253.0,cash,High,3
t0142,c114,2025-01-10,5477.0,wallet,High,1
t0242,c118,2025-01-05,3502.0,cash,High,1
t0041,c113,2025-02-13,1041.0,upi,High,2
t0221,c038,2025-02-25,3837.0,netbanking,High,2
t0057,c113,2025-01-16,5182.0,netbanking,High,1
t0028,c062,2025-03-30,8241.0,netbanking,High,3
t0035,c124,2025-02-05,8795.0,wallet,High,2
t0285,c078,2025-03-03,6853.0,upi,High,3
t0003,c007,2025-01-11,7222.0,card,High,1
t0044,c039,2025-03-14,1595.0,card,High,3
t0052,c009,2025-01-30,4832.0,netbanking,High,1
t0172,c075,2025-02-11,326.0,netbanking,Medium,2
t0233,c110,2025-01-01,5980.0,card,High,1
t0124,c026,2025-03-04,6886.0,upi,High,3
t0068,c030,2025-02-21,218.0,wallet,Medium,2
t0154,c074,2025-03-18,5961.0,cash,High,3
t0095,c084,2025-01-08,6073.0,upi,High,1
t0268,c052,2025-01-18,8294.0,cash,High,1
t0004,c119,2025-01-24,4462.0,netbanking,High,1
t0210,c130,2025-03-11,818.0,upi,High,3
t0293,c041,2025-02-11,5323.0,card,High,2
t0231,c029,2025-03-05,8982.0,cash,High,3
t0176,c020,2025-02-10,7233.0,wallet,High,2
t0224,c096,2025-01-29,5421.0,cash,High,1
t0229,c029,2025-02-06,5134.0,cash,High,2
t0036,c073,2025-01-13,5053.0,card,High,1
t0013,c007,2025-02-09,6349.0,netbanking,High,2
t0230,c013,2025-01-31,7689.0,cash,High,1
t0180,c028,2025-02-01,9848.0,netbanking,High,2
t0262,c068,2025-02-03,3715.0,wallet,High,2
t0168,c030,2025-02-14,2016.0,upi,High,2
t0218,c036,2025-02-02,8073.0,upi,High,2
t0037,c093,2025-01-23,431.0,wallet,Medium,1
t0277,c083,2025-01-29,8701.0,upi,High,1
t0195,c122,2025-03-06,1213.0,netbanking,High,3
t0170,c057,2025-02-20,1097.0,cash,High,2
t0103,c117,2025-02-08,6502.0,netbanking,High,2
t0122,c138,2025-01-18,7632.0,upi,High,1
t0043,c019,2025-03-15,1078.0,card,High,3
t0062,c045,2025-03-02,7445.0,upi,High,3
t0082,c138,2025-03-03,5646.0,wallet,High,3
t0110,c094,2025-01-17,5035.0,upi,High,1
t0075,c119,2025-01-16,2722.0,netbanking,High,1
t0018,c108,2025-03-04,7302.0,upi,High,3
t0118,c060,2025-03-02,9398.0,upi,High,3
t0198,c134,2025-03-20,6162.0,upi,High,3
t0227,c002,2025-01-11,4393.0,card,High,1
t0292,c075,2025-02-19,7050.0,card,High,2
t0297,c091,2025-01-07,4809.0,netbanking,High,1
t0139,c116,2025-03-06,910.0,wallet,High,3
t0133,c001,2025-02-05,2329.0,wallet,High,2
t0264,c035,2025-01-10,3028.0,netbanking,High,1
t0175,c102,2025-01-06,507.0,netbanking,High,1
t0144,c150,2025-03-12,6440.0,wallet,High,3
t0078,c099,2025-01-25,8527.0,card,High,1
t0055,c039,2025-02-04,1369.0,cash,High,2
t0248,c128,2025-02-17,4569.0,cash,High,2
t0247,c113,2025-02-19,3260.0,netbanking,High,2
t0174,c059,2025-03-06,6002.0,cash,High,3
t0079,c018,2025-02-05,5768.0,wallet,High,2
t0272,c105,2025-03-15,2253.0,upi,High,3
t0150,c122,2025-01-09,1598.0,cash,High,1
